K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,5,4): fitness => -7.00
K = 8, Run (1,5,5): fitness => -7.00

K = 8, Run (1,6,1): fitness => -7.00
K = 8, Run (1,6,2): fitness => -7.00
K = 8, Run (1,6,3): fitness => -7.00
K = 8, Run (1,6,4): fitness => -7.00
K = 8, Run (1,6,5): fitness => -7.00

K = 8, Run (1,7,1): fitness => -7.00
K = 8, Run (1,7,2): fitness => -7.00
K = 8, Run (1,7,3): fitness => -7.00
K = 8, Run (1,7,4): fitness => -7.00
K = 8, Run (1,7,5): fitness => -7.00

K = 8, Run (1,8,1): fitness => -7.00
K = 8, Run (1,8,2): fitness => -7.00
K = 8, Run (1,8,3): fitness => -7.00
K = 8, Run (1,8,4): fitness => -7.00
K = 8, Run (1,8,5): fitness => -7.00

K = 8, Run (1,9,1): fitness => -7.00
K = 8, Run (1,9,2): fitness => -7.00
K = 8, Run (1,9,3): fitness => -7.00
K = 8, Run (1,9,4): fitness => -7.00
K = 8, Run (1,9,5): fitness => -7.00

K = 8, Run (1,10,1): fitness => -7.00
K = 8, Run (1,10,2): fitness => -7.00
K = 8, Run (1,10,3): fitness => -7.00
K = 8, Run (1,10,4): fitness => -7.00
K = 8, Run (1,10,5): fitness => -7.00

K = 8, Run (2,1,1): fitness => -7.02
K = 8, Run (2,1,2): fitness => -6.94
K = 8, Run (2,1,3): fitness => -6.88
K = 8, Run (2,1,4): fitness => -6.84
K = 8, Run (2,1,5): fitness => -6.82

K = 8, Run (2,2,1): fitness => -6.92
K = 8, Run (2,2,2): fitness => -6.88
K = 8, Run (2,2,3): fitness => -6.84
K = 8, Run (2,2,4): fitness => -6.82
K = 8, Run (2,2,5): fitness => -6.82

K = 8, Run (2,3,1): fitness => -6.86
K = 8, Run (2,3,2): fitness => -6.83
K = 8, Run (2,3,3): fitness => -6.82
K = 8, Run (2,3,4): fitness => -6.82
K = 8, Run (2,3,5): fitness => -6.82

K = 8, Run (2,4,1): fitness => -6.82
K = 8, Run (2,4,2): fitness => -6.82
K = 8, Run (2,4,3): fitness => -6.82
K = 8, Run (2,4,4): fitness => -6.82
K = 8, Run (2,4,5): fitness => -6.82

K = 8, Run (2,5,1): fitness => -6.82
K = 8, Run (2,5,2): fitness => -6.82
K = 8, Run (2,5,3): fitness => -6.82
K = 8, Run (2,5,4): fitness => -6.82
K = 8, Run (2,5,5): fitness => -6.82

K = 8, Run (2,6,1): fitness => -6.82
K = 8, Run (2,6,2): fitness => -6.82
K = 8, Run (2,6,3): fitness => -6.82
K = 8, Run (2,6,4): fitness => -6.82
K = 8, Run (2,6,5): fitness => -6.82

K = 8, Run (2,7,1): fitness => -6.82
K = 8, Run (2,7,2): fitness => -6.82
K = 8, Run (2,7,3): fitness => -6.82
K = 8, Run (2,7,4): fitness => -6.82
K = 8, Run (2,7,5): fitness => -6.82

K = 8, Run (2,8,1): fitness => -6.82
K = 8, Run (2,8,2): fitness => -6.82
K = 8, Run (2,8,3): fitness => -6.82
K = 8, Run (2,8,4): fitness => -6.82
K = 8, Run (2,8,5): fitness => -6.82

K = 8, Run (2,9,1): fitness => -6.82
K = 8, Run (2,9,2): fitness => -6.82
K = 8, Run (2,9,3): fitness => -6.82
K = 8, Run (2,9,4): fitness => -6.82
K = 8, Run (2,9,5): fitness => -6.82

K = 8, Run (2,10,1): fitness => -6.82
K = 8, Run (2,10,2): fitness => -6.82
K = 8, Run (2,10,3): fitness => -6.82
K = 8, Run (2,10,4): fitness => -6.82
K = 8, Run (2,10,5): fitness => -6.82

#-6.82

real	0m1.008s
user	0m0.917s
sys	0m0.065s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,1,1): fitness => -7.15
K = 8, Run (1,1,2): fitness => -7.05
K = 8, Run (1,1,3): fitness => -6.98
K = 8, Run (1,1,4): fitness => -6.96
K = 8, Run (1,1,5): fitness => -6.96

K = 8, Run (1,2,1): fitness => -7.00
K = 8, Run (1,2,2): fitness => -6.98
K = 8, Run (1,2,3): fitness => -6.96
K = 8, Run (1,2,4): fitness => -6.96
K = 8, Run (1,2,5): fitness => -6.96

K = 8, Run (1,3,1): fitness => -6.97
K = 8, Run (1,3,2): fitness => -6.96
K = 8, Run (1,3,3): fitness => -6.96
K = 8, Run (1,3,4): fitness => -6.96
K = 8, Run (1,3,5): fitness => -6.96

K = 8, Run (1,4,1): fitness => -6.96
K = 8, Run (1,4,2): fitness => -6.96
K = 8, Run (1,4,3): fitness => -6.96
K = 8, Run (1,4,4): fitness => -6.96
K = 8, Run (1,4,5): fitness => -6.96

K = 8, Run (1,5,1): fitness => -6.96
K = 8, Run (1,5,2): fitness => -6.96
K = 8, Run (1,5,3): fitness => -6.96
K = 8, Run (1,5,4): fitness => -6.96
K = 8, Run (1,5,5): fitness => -6.96

K = 8, Run (1,6,1): fitness => -6.96
K = 8, Run (1,6,2): fitness => -6.96
K = 8, Run (1,6,3): fitness => -6.96
K = 8, Run (1,6,4): fitness => -6.96
K = 8, Run (1,6,5): fitness => -6.96

K = 8, Run (1,7,1): fitness => -6.96
K = 8, Run (1,7,2): fitness => -6.96
K = 8, Run (1,7,3): fitness => -6.96
K = 8, Run (1,7,4): fitness => -6.96
K = 8, Run (1,7,5): fitness => -6.96

K = 8, Run (1,8,1): fitness => -6.96
K = 8, Run (1,8,2): fitness => -6.96
K = 8, Run (1,8,3): fitness => -6.96
K = 8, Run (1,8,4): fitness => -6.96
K = 8, Run (1,8,5): fitness => -6.96

K = 8, Run (1,9,1): fitness => -6.96
K = 8, Run (1,9,2): fitness => -6.96
K = 8, Run (1,9,3): fitness => -6.96
K = 8, Run (1,9,4): fitness => -6.96
K = 8, Run (1,9,5): fitness => -6.96

K = 8, Run (1,10,1): fitness => -6.96
K = 8, Run (1,10,2): fitness => -6.96
K = 8, Run (1,10,3): fitness => -6.96
K = 8, Run (1,10,4): fitness => -6.96
K = 8, Run (1,10,5): fitness => -6.96

K = 8, Run (2,1,1): fitness => -7.23
K = 8, Run (2,1,2): fitness => -7.18
K = 8, Run (2,1,3): fitness => -7.14
K = 8, Run (2,1,4): fitness => -7.12
K = 8, Run (2,1,5): fitness => -7.12

K = 8, Run (2,2,1): fitness => -7.15
K = 8, Run (2,2,2): fitness => -7.13
K = 8, Run (2,2,3): fitness => -7.12
K = 8, Run (2,2,4): fitness => -7.12
K = 8, Run (2,2,5): fitness => -7.12

K = 8, Run (2,3,1): fitness => -7.12
K = 8, Run (2,3,2): fitness => -7.12
K = 8, Run (2,3,3): fitness => -7.12
K = 8, Run (2,3,4): fitness => -7.12
K = 8, Run (2,3,5): fitness => -7.12

K = 8, Run (2,4,1): fitness => -7.12
K = 8, Run (2,4,2): fitness => -7.12
K = 8, Run (2,4,3): fitness => -7.12
K = 8, Run (2,4,4): fitness => -7.12
K = 8, Run (2,4,5): fitness => -7.12

K = 8, Run (2,5,1): fitness => -7.12
K = 8, Run (2,5,2): fitness => -7.12
K = 8, Run (2,5,3): fitness => -7.12
K = 8, Run (2,5,4): fitness => -7.12
K = 8, Run (2,5,5): fitness => -7.12

K = 8, Run (2,6,1): fitness => -7.12
K = 8, Run (2,6,2): fitness => -7.12
K = 8, Run (2,6,3): fitness => -7.12
K = 8, Run (2,6,4): fitness => -7.12
K = 8, Run (2,6,5): fitness => -7.12

K = 8, Run (2,7,1): fitness => -7.12
K = 8, Run (2,7,2): fitness => -7.12
K = 8, Run (2,7,3): fitness => -7.12
K = 8, Run (2,7,4): fitness => -7.12
K = 8, Run (2,7,5): fitness => -7.12

K = 8, Run (2,8,1): fitness => -7.12
K = 8, Run (2,8,2): fitness => -7.12
K = 8, Run (2,8,3): fitness => -7.12
K = 8, Run (2,8,4): fitness => -7.12
K = 8, Run (2,8,5): fitness => -7.12

K = 8, Run (2,9,1): fitness => -7.12
K = 8, Run (2,9,2): fitness => -7.12
K = 8, Run (2,9,3): fitness => -7.12
K = 8, Run (2,9,4): fitness => -7.12
K = 8, Run (2,9,5): fitness => -7.12

K = 8, Run (2,10,1): fitness => -7.12
K = 8, Run (2,10,2): fitness => -7.12
K = 8, Run (2,10,3): fitness => -7.12
K = 8, Run (2,10,4): fitness => -7.12
K = 8, Run (2,10,5): fitness => -7.12

#-6.96

real	0m1.017s
user	0m0.903s
sys	0m0.067s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,1,1): fitness => -7.10
K = 8, Run (1,1,2): fitness => -7.02
K = 8, Run (1,1,3): fitness => -6.93
K = 8, Run (1,1,4): fitness => -6.87
K = 8, Run (1,1,5): fitness => -6.81

K = 8, Run (1,2,1): fitness => -7.02
K = 8, Run (1,2,2): fitness => -6.95
K = 8, Run (1,2,3): fitness => -6.87
K = 8, Run (1,2,4): fitness => -6.81
K = 8, Run (1,2,5): fitness => -6.81

K = 8, Run (1,3,1): fitness => -6.91
K = 8, Run (1,3,2): fitness => -6.84
K = 8, Run (1,3,3): fitness => -6.81
K = 8, Run (1,3,4): fitness => -6.81
K = 8, Run (1,3,5): fitness => -6.81

K = 8, Run (1,4,1): fitness => -6.81
K = 8, Run (1,4,2): fitness => -6.81
K = 8, Run (1,4,3): fitness => -6.81
K = 8, Run (1,4,4): fitness => -6.81
K = 8, Run (1,4,5): fitness => -6.81

K = 8, Run (1,5,1): fitness => -6.81
K = 8, Run (1,5,2): fitness => -6.81
K = 8, Run (1,5,3): fitness => -6.81
K = 8, Run (1,5,4): fitness => -6.81
K = 8, Run (1,5,5): fitness => -6.81

K = 8, Run (1,6,1): fitness => -6.81
K = 8, Run (1,6,2): fitness => -6.81
K = 8, Run (1,6,3): fitness => -6.81
K = 8, Run (1,6,4): fitness => -6.81
K = 8, Run (1,6,5): fitness => -6.81

K = 8, Run (1,7,1): fitness => -6.81
K = 8, Run (1,7,2): fitness => -6.81
K = 8, Run (1,7,3): fitness => -6.81
K = 8, Run (1,7,4): fitness => -6.81
K = 8, Run (1,7,5): fitness => -6.81

K = 8, Run (1,8,1): fitness => -6.81
K = 8, Run (1,8,2): fitness => -6.81
K = 8, Run (1,8,3): fitness => -6.81
K = 8, Run (1,8,4): fitness => -6.81
K = 8, Run (1,8,5): fitness => -6.81

K = 8, Run (1,9,1): fitness => -6.81
K = 8, Run (1,9,2): fitness => -6.81
K = 8, Run (1,9,3): fitness => -6.81
K = 8, Run (1,9,4): fitness => -6.81
K = 8, Run (1,9,5): fitness => -6.81

K = 8, Run (1,10,1): fitness => -6.81
K = 8, Run (1,10,2): fitness => -6.81
K = 8, Run (1,10,3): fitness => -6.81
K = 8, Run (1,10,4): fitness => -6.81
K = 8, Run (1,10,5): fitness => -6.81

K = 8, Run (2,1,1): fitness => -7.36
K = 8, Run (2,1,2): fitness => -7.32
K = 8, Run (2,1,3): fitness => -7.29
K = 8, Run (2,1,4): fitness => -7.28
K = 8, Run (2,1,5): fitness => -7.28

K = 8, Run (2,2,1): fitness => -7.30
K = 8, Run (2,2,2): fitness => -7.29
K = 8, Run (2,2,3): fitness => -7.28
K = 8, Run (2,2,4): fitness => -7.28
K = 8, Run (2,2,5): fitness => -7.28

K = 8, Run (2,3,1): fitness => -7.28
K = 8, Run (2,3,2): fitness => -7.28
K = 8, Run (2,3,3): fitness => -7.28
K = 8, Run (2,3,4): fitness => -7.28
K = 8, Run (2,3,5): fitness => -7.28

K = 8, Run (2,4,1): fitness => -7.28
K = 8, Run (2,4,2): fitness => -7.28
K = 8, Run (2,4,3): fitness => -7.28
K = 8, Run (2,4,4): fitness => -7.28
K = 8, Run (2,4,5): fitness => -7.28

K = 8, Run (2,5,1): fitness => -7.28
K = 8, Run (2,5,2): fitness => -7.28
K = 8, Run (2,5,3): fitness => -7.28
K = 8, Run (2,5,4): fitness => -7.28
K = 8, Run (2,5,5): fitness => -7.28

K = 8, Run (2,6,1): fitness => -7.28
K = 8, Run (2,6,2): fitness => -7.28
K = 8, Run (2,6,3): fitness => -7.28
K = 8, Run (2,6,4): fitness => -7.28
K = 8, Run (2,6,5): fitness => -7.28

K = 8, Run (2,7,1): fitness => -7.28
K = 8, Run (2,7,2): fitness => -7.28
K = 8, Run (2,7,3): fitness => -7.28
K = 8, Run (2,7,4): fitness => -7.28
K = 8, Run (2,7,5): fitness => -7.28

K = 8, Run (2,8,1): fitness => -7.28
K = 8, Run (2,8,2): fitness => -7.28
K = 8, Run (2,8,3): fitness => -7.28
K = 8, Run (2,8,4): fitness => -7.28
K = 8, Run (2,8,5): fitness => -7.28

K = 8, Run (2,9,1): fitness => -7.28
K = 8, Run (2,9,2): fitness => -7.28
K = 8, Run (2,9,3): fitness => -7.28
K = 8, Run (2,9,4): fitness => -7.28
K = 8, Run (2,9,5): fitness => -7.28

K = 8, Run (2,10,1): fitness => -7.28
K = 8, Run (2,10,2): fitness => -7.28
K = 8, Run (2,10,3): fitness => -7.28
K = 8, Run (2,10,4): fitness => -7.28
K = 8, Run (2,10,5): fitness => -7.28

#-6.81

real	0m1.136s
user	0m1.006s
sys	0m0.072s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,1,1): fitness => -7.21
K = 8, Run (1,1,2): fitness => -7.11
K = 8, Run (1,1,3): fitness => -7.00
K = 8, Run (1,1,4): fitness => -6.94
K = 8, Run (1,1,5): fitness => -6.92

K = 8, Run (1,2,1): fitness => -7.05
K = 8, Run (1,2,2): fitness => -6.98
K = 8, Run (1,2,3): fitness => -6.94
K = 8, Run (1,2,4): fitness => -6.92
K = 8, Run (1,2,5): fitness => -6.92

K = 8, Run (1,3,1): fitness => -6.95
K = 8, Run (1,3,2): fitness => -6.93
K = 8, Run (1,3,3): fitness => -6.92
K = 8, Run (1,3,4): fitness => -6.92
K = 8, Run (1,3,5): fitness => -6.92

K = 8, Run (1,4,1): fitness => -6.92
K = 8, Run (1,4,2): fitness => -6.92
K = 8, Run (1,4,3): fitness => -6.92
K = 8, Run (1,4,4): fitness => -6.92
K = 8, Run (1,4,5): fitness => -6.92

K = 8, Run (1,5,1): fitness => -6.92
K = 8, Run (1,5,2): fitness => -6.92
K = 8, Run (1,5,3): fitness => -6.92
K = 8, Run (1,5,4): fitness => -6.92
K = 8, Run (1,5,5): fitness => -6.92

K = 8, Run (1,6,1): fitness => -6.92
K = 8, Run (1,6,2): fitness => -6.92
K = 8, Run (1,6,3): fitness => -6.92
K = 8, Run (1,6,4): fitness => -6.92
K = 8, Run (1,6,5): fitness => -6.92

K = 8, Run (1,7,1): fitness => -6.92
K = 8, Run (1,7,2): fitness => -6.92
K = 8, Run (1,7,3): fitness => -6.92
K = 8, Run (1,7,4): fitness => -6.92
K = 8, Run (1,7,5): fitness => -6.92

K = 8, Run (1,8,1): fitness => -6.92
K = 8, Run (1,8,2): fitness => -6.92
K = 8, Run (1,8,3): fitness => -6.92
K = 8, Run (1,8,4): fitness => -6.92
K = 8, Run (1,8,5): fitness => -6.92

K = 8, Run (1,9,1): fitness => -6.92
K = 8, Run (1,9,2): fitness => -6.92
K = 8, Run (1,9,3): fitness => -6.92
K = 8, Run (1,9,4): fitness => -6.92
K = 8, Run (1,9,5): fitness => -6.92

K = 8, Run (1,10,1): fitness => -6.92
K = 8, Run (1,10,2): fitness => -6.92
K = 8, Run (1,10,3): fitness => -6.92
K = 8, Run (1,10,4): fitness => -6.92
K = 8, Run (1,10,5): fitness => -6.92

K = 8, Run (2,1,1): fitness => -7.06
K = 8, Run (2,1,2): fitness => -6.94
K = 8, Run (2,1,3): fitness => -6.83
K = 8, Run (2,1,4): fitness => -6.74
K = 8, Run (2,1,5): fitness => -6.70

K = 8, Run (2,2,1): fitness => -6.91
K = 8, Run (2,2,2): fitness => -6.81
K = 8, Run (2,2,3): fitness => -6.74
K = 8, Run (2,2,4): fitness => -6.70
K = 8, Run (2,2,5): fitness => -6.70

K = 8, Run (2,3,1): fitness => -6.77
K = 8, Run (2,3,2): fitness => -6.72
K = 8, Run (2,3,3): fitness => -6.70
K = 8, Run (2,3,4): fitness => -6.70
K = 8, Run (2,3,5): fitness => -6.70

K = 8, Run (2,4,1): fitness => -6.70
K = 8, Run (2,4,2): fitness => -6.70
K = 8, Run (2,4,3): fitness => -6.70
K = 8, Run (2,4,4): fitness => -6.70
K = 8, Run (2,4,5): fitness => -6.70

K = 8, Run (2,5,1): fitness => -6.70
K = 8, Run (2,5,2): fitness => -6.70
K = 8, Run (2,5,3): fitness => -6.70
K = 8, Run (2,5,4): fitness => -6.70
K = 8, Run (2,5,5): fitness => -6.70

K = 8, Run (2,6,1): fitness => -6.70
K = 8, Run (2,6,2): fitness => -6.70
K = 8, Run (2,6,3): fitness => -6.70
K = 8, Run (2,6,4): fitness => -6.70
K = 8, Run (2,6,5): fitness => -6.70

K = 8, Run (2,7,1): fitness => -6.70
K = 8, Run (2,7,2): fitness => -6.70
K = 8, Run (2,7,3): fitness => -6.70
K = 8, Run (2,7,4): fitness => -6.70
K = 8, Run (2,7,5): fitness => -6.70

K = 8, Run (2,8,1): fitness => -6.70
K = 8, Run (2,8,2): fitness => -6.70
K = 8, Run (2,8,3): fitness => -6.70
K = 8, Run (2,8,4): fitness => -6.70
K = 8, Run (2,8,5): fitness => -6.70

K = 8, Run (2,9,1): fitness => -6.70
K = 8, Run (2,9,2): fitness => -6.70
K = 8, Run (2,9,3): fitness => -6.70
K = 8, Run (2,9,4): fitness => -6.70
K = 8, Run (2,9,5): fitness => -6.70

K = 8, Run (2,10,1): fitness => -6.70
K = 8, Run (2,10,2): fitness => -6.70
K = 8, Run (2,10,3): fitness => -6.70
K = 8, Run (2,10,4): fitness => -6.70
K = 8, Run (2,10,5): fitness => -6.70

#-6.70

real	0m1.028s
user	0m0.921s
sys	0m0.068s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,1,1): fitness => -7.33
K = 8, Run (1,1,2): fitness => -7.26
K = 8, Run (1,1,3): fitness => -7.18
K = 8, Run (1,1,4): fitness => -7.14
K = 8, Run (1,1,5): fitness => -7.13

K = 8, Run (1,2,1): fitness => -7.23
K = 8, Run (1,2,2): fitness => -7.17
K = 8, Run (1,2,3): fitness => -7.14
K = 8, Run (1,2,4): fitness => -7.13
K = 8, Run (1,2,5): fitness => -7.13

K = 8, Run (1,3,1): fitness => -7.15
K = 8, Run (1,3,2): fitness => -7.13
K = 8, Run (1,3,3): fitness => -7.13
K = 8, Run (1,3,4): fitness => -7.13
K = 8, Run (1,3,5): fitness => -7.13

K = 8, Run (1,4,1): fitness => -7.13
K = 8, Run (1,4,2): fitness => -7.13
K = 8, Run (1,4,3): fitness => -7.13
K = 8, Run (1,4,4): fitness => -7.13
K = 8, Run (1,4,5): fitness => -7.13

K = 8, Run (1,5,1): fitness => -7.13
K = 8, Run (1,5,2): fitness => -7.13
K = 8, Run (1,5,3): fitness => -7.13
K = 8, Run (1,5,4): fitness => -7.13
K = 8, Run (1,5,5): fitness => -7.13

K = 8, Run (1,6,1): fitness => -7.13
K = 8, Run (1,6,2): fitness => -7.13
K = 8, Run (1,6,3): fitness => -7.13
K = 8, Run (1,6,4): fitness => -7.13
K = 8, Run (1,6,5): fitness => -7.13

K = 8, Run (1,7,1): fitness => -7.13
K = 8, Run (1,7,2): fitness => -7.13
K = 8, Run (1,7,3): fitness => -7.13
K = 8, Run (1,7,4): fitness => -7.13
K = 8, Run (1,7,5): fitness => -7.13

K = 8, Run (1,8,1): fitness => -7.13
K = 8, Run (1,8,2): fitness => -7.13
K = 8, Run (1,8,3): fitness => -7.13
K = 8, Run (1,8,4): fitness => -7.13
K = 8, Run (1,8,5): fitness => -7.13

K = 8, Run (1,9,1): fitness => -7.13
K = 8, Run (1,9,2): fitness => -7.13
K = 8, Run (1,9,3): fitness => -7.13
K = 8, Run (1,9,4): fitness => -7.13
K = 8, Run (1,9,5): fitness => -7.13

K = 8, Run (1,10,1): fitness => -7.13
K = 8, Run (1,10,2): fitness => -7.13
K = 8, Run (1,10,3): fitness => -7.13
K = 8, Run (1,10,4): fitness => -7.13
K = 8, Run (1,10,5): fitness => -7.13

K = 8, Run (2,1,1): fitness => -7.15
K = 8, Run (2,1,2): fitness => -7.10
K = 8, Run (2,1,3): fitness => -7.06
K = 8, Run (2,1,4): fitness => -7.03
K = 8, Run (2,1,5): fitness => -7.02

K = 8, Run (2,2,1): fitness => -7.08
K = 8, Run (2,2,2): fitness => -7.05
K = 8, Run (2,2,3): fitness => -7.03
K = 8, Run (2,2,4): fitness => -7.02
K = 8, Run (2,2,5): fitness => -7.02

K = 8, Run (2,3,1): fitness => -7.03
K = 8, Run (2,3,2): fitness => -7.02
K = 8, Run (2,3,3): fitness => -7.02
K = 8, Run (2,3,4): fitness => -7.02
K = 8, Run (2,3,5): fitness => -7.02

K = 8, Run (2,4,1): fitness => -7.02
K = 8, Run (2,4,2): fitness => -7.02
K = 8, Run (2,4,3): fitness => -7.02
K = 8, Run (2,4,4): fitness => -7.02
K = 8, Run (2,4,5): fitness => -7.02

K = 8, Run (2,5,1): fitness => -7.02
K = 8, Run (2,5,2): fitness => -7.02
K = 8, Run (2,5,3): fitness => -7.02
K = 8, Run (2,5,4): fitness => -7.02
K = 8, Run (2,5,5): fitness => -7.02

K = 8, Run (2,6,1): fitness => -7.02
K = 8, Run (2,6,2): fitness => -7.02
K = 8, Run (2,6,3): fitness => -7.02
K = 8, Run (2,6,4): fitness => -7.02
K = 8, Run (2,6,5): fitness => -7.02

K = 8, Run (2,7,1): fitness => -7.02
K = 8, Run (2,7,2): fitness => -7.02
K = 8, Run (2,7,3): fitness => -7.02
K = 8, Run (2,7,4): fitness => -7.02
K = 8, Run (2,7,5): fitness => -7.02

K = 8, Run (2,8,1): fitness => -7.02
K = 8, Run (2,8,2): fitness => -7.02
K = 8, Run (2,8,3): fitness => -7.02
K = 8, Run (2,8,4): fitness => -7.02
K = 8, Run (2,8,5): fitness => -7.02

K = 8, Run (2,9,1): fitness => -7.02
K = 8, Run (2,9,2): fitness => -7.02
K = 8, Run (2,9,3): fitness => -7.02
K = 8, Run (2,9,4): fitness => -7.02
K = 8, Run (2,9,5): fitness => -7.02

K = 8, Run (2,10,1): fitness => -7.02
K = 8, Run (2,10,2): fitness => -7.02
K = 8, Run (2,10,3): fitness => -7.02
K = 8, Run (2,10,4): fitness => -7.02
K = 8, Run (2,10,5): fitness => -7.02

#-7.02

real	0m1.096s
user	0m0.976s
sys	0m0.078s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,1,1): fitness => -7.13
K = 8, Run (1,1,2): fitness => -7.04
K = 8, Run (1,1,3): fitness => -6.95
K = 8, Run (1,1,4): fitness => -6.90
K = 8, Run (1,1,5): fitness => -6.86

K = 8, Run (1,2,1): fitness => -7.02
K = 8, Run (1,2,2): fitness => -6.96
K = 8, Run (1,2,3): fitness => -6.90
K = 8, Run (1,2,4): fitness => -6.86
K = 8, Run (1,2,5): fitness => -6.86

K = 8, Run (1,3,1): fitness => -6.93
K = 8, Run (1,3,2): fitness => -6.88
K = 8, Run (1,3,3): fitness => -6.86
K = 8, Run (1,3,4): fitness => -6.86
K = 8, Run (1,3,5): fitness => -6.86

K = 8, Run (1,4,1): fitness => -6.86
K = 8, Run (1,4,2): fitness => -6.86
K = 8, Run (1,4,3): fitness => -6.86
K = 8, Run (1,4,4): fitness => -6.86
K = 8, Run (1,4,5): fitness => -6.86

K = 8, Run (1,5,1): fitness => -6.86
K = 8, Run (1,5,2): fitness => -6.86
K = 8, Run (1,5,3): fitness => -6.86
K = 8, Run (1,5,4): fitness => -6.86
K = 8, Run (1,5,5): fitness => -6.86

K = 8, Run (1,6,1): fitness => -6.86
K = 8, Run (1,6,2): fitness => -6.86
K = 8, Run (1,6,3): fitness => -6.86
K = 8, Run (1,6,4): fitness => -6.86
K = 8, Run (1,6,5): fitness => -6.86

K = 8, Run (1,7,1): fitness => -6.86
K = 8, Run (1,7,2): fitness => -6.86
K = 8, Run (1,7,3): fitness => -6.86
K = 8, Run (1,7,4): fitness => -6.86
K = 8, Run (1,7,5): fitness => -6.86

K = 8, Run (1,8,1): fitness => -6.86
K = 8, Run (1,8,2): fitness => -6.86
K = 8, Run (1,8,3): fitness => -6.86
K = 8, Run (1,8,4): fitness => -6.86
K = 8, Run (1,8,5): fitness => -6.86

K = 8, Run (1,9,1): fitness => -6.86
K = 8, Run (1,9,2): fitness => -6.86
K = 8, Run (1,9,3): fitness => -6.86
K = 8, Run (1,9,4): fitness => -6.86
K = 8, Run (1,9,5): fitness => -6.86

K = 8, Run (1,10,1): fitness => -6.86
K = 8, Run (1,10,2): fitness => -6.86
K = 8, Run (1,10,3): fitness => -6.86
K = 8, Run (1,10,4): fitness => -6.86
K = 8, Run (1,10,5): fitness => -6.86

K = 8, Run (2,1,1): fitness => -7.29
K = 8, Run (2,1,2): fitness => -7.25
K = 8, Run (2,1,3): fitness => -7.23
K = 8, Run (2,1,4): fitness => -7.22
K = 8, Run (2,1,5): fitness => -7.21

K = 8, Run (2,2,1): fitness => -7.24
K = 8, Run (2,2,2): fitness => -7.23
K = 8, Run (2,2,3): fitness => -7.22
K = 8, Run (2,2,4): fitness => -7.21
K = 8, Run (2,2,5): fitness => -7.21

K = 8, Run (2,3,1): fitness => -7.23
K = 8, Run (2,3,2): fitness => -7.22
K = 8, Run (2,3,3): fitness => -7.21
K = 8, Run (2,3,4): fitness => -7.21
K = 8, Run (2,3,5): fitness => -7.21

K = 8, Run (2,4,1): fitness => -7.21
K = 8, Run (2,4,2): fitness => -7.21
K = 8, Run (2,4,3): fitness => -7.21
K = 8, Run (2,4,4): fitness => -7.21
K = 8, Run (2,4,5): fitness => -7.21

K = 8, Run (2,5,1): fitness => -7.21
K = 8, Run (2,5,2): fitness => -7.21
K = 8, Run (2,5,3): fitness => -7.21
K = 8, Run (2,5,4): fitness => -7.21
K = 8, Run (2,5,5): fitness => -7.21

K = 8, Run (2,6,1): fitness => -7.21
K = 8, Run (2,6,2): fitness => -7.21
K = 8, Run (2,6,3): fitness => -7.21
K = 8, Run (2,6,4): fitness => -7.21
K = 8, Run (2,6,5): fitness => -7.21

K = 8, Run (2,7,1): fitness => -7.21
K = 8, Run (2,7,2): fitness => -7.21
K = 8, Run (2,7,3): fitness => -7.21
K = 8, Run (2,7,4): fitness => -7.21
K = 8, Run (2,7,5): fitness => -7.21

K = 8, Run (2,8,1): fitness => -7.21
K = 8, Run (2,8,2): fitness => -7.21
K = 8, Run (2,8,3): fitness => -7.21
K = 8, Run (2,8,4): fitness => -7.21
K = 8, Run (2,8,5): fitness => -7.21

K = 8, Run (2,9,1): fitness => -7.21
K = 8, Run (2,9,2): fitness => -7.21
K = 8, Run (2,9,3): fitness => -7.21
K = 8, Run (2,9,4): fitness => -7.21
K = 8, Run (2,9,5): fitness => -7.21

K = 8, Run (2,10,1): fitness => -7.21
K = 8, Run (2,10,2): fitness => -7.21
K = 8, Run (2,10,3): fitness => -7.21
K = 8, Run (2,10,4): fitness => -7.21
K = 8, Run (2,10,5): fitness => -7.21

#-6.86

real	0m1.002s
user	0m0.907s
sys	0m0.067s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

